delta0,delta1,delta2,delta3,delta4
0010,0015,0030,0038,0037
0010,0015,0035,0047,0046
0015,0018,0047,0063,0055
0015,0018,0047,0066,0055
0015,0018,0048,0083,0059
0017,0024,0051,0087,0071
0018,0024,0051,0087,0071
0018,0024,0051,0094,0072
0020,0022,0064,0100,0076
0020,0022,0064,0100,0076
0020,0022,0061,0096,0076
0020,0022,0054,0092,0070
0020,0019,0052,0092,0070
0019,0019,0050,0074,0063
0008,0016,0042,0068,0052
0009,0016,0039,0061,0052
0009,0014,0023,0027,0028
0009,0011,0021,0025,0023
0005,0011,0017,0017,0018
0001,0010,0012,0013,0014
0000,0004,0003,0012,0009
0000,0004,0003,0012,0009
0000,0004,0003,0003,0009
0003,0006,0005,0003,0009
0003,0006,0005,0003,0009
0003,0009,0005,0004,0007
0001,0007,0005,0004,0007
0001,0007,0005,0004,0007
0001,0007,0006,0002,0006
-005,0004,0003,0002,0006
