delta0,delta1,delta2,delta3,delta4
0011,0016,0038,0066,0048
0013,0019,0049,0080,0062
0022,0020,0065,0112,0082
0022,0020,0065,0112,0082
0022,0020,0069,0116,0087
0022,0020,0069,0113,0082
0022,0020,0069,0113,0082
0019,0015,0056,0091,0065
0017,0008,0050,0073,0053
0017,0008,0050,0073,0053
0017,0008,0040,0057,0042
0017,0008,0033,0046,0037
0017,0008,0033,0046,0037
0009,0003,0026,0025,0021
0005,-001,0025,0013,0011
0009,0003,0026,0018,0021
0005,0000,0025,0013,0011
-001,0000,0009,0005,0006
-001,0000,0009,0005,0006
0000,-001,0003,0001,0004
0000,0000,0003,0001,0004
0000,0000,0003,0001,0004
-002,0000,-001,-001,-003
-002,0000,-002,-001,-003
-002,0000,-002,-001,-003
-004,0001,-003,-001,-003
-004,0001,-003,-001,-001
-004,0001,-003,-001,-001
-002,-004,0001,-005,-001
-002,-003,0001,-005,-002
