delta0,delta1,delta2,delta3,delta4
0008,0008,0037,0051,0047
0008,0008,0050,0077,0049
0008,0009,0061,0108,0062
0007,0009,0077,0122,0093
0007,0009,0083,0141,0093
0007,0009,0084,0150,0093
0007,0009,0101,0167,0114
0025,0014,0111,0180,0114
0025,0014,0111,0180,0114
0015,0010,0104,0172,0107
0015,0010,0104,0172,0107
0015,0010,0104,0172,0107
0014,0006,0059,0101,0048
0014,0006,0047,0061,0036
0015,0015,0041,0042,0031
0015,0015,0012,0003,-008
0015,0015,0012,0003,-008
0015,0015,0012,0003,-008
-008,-012,-010,-009,-013
-008,-012,-010,-009,-013
-008,-012,-010,-009,-013
-010,-013,-011,-014,-023
-010,-013,-011,-014,-023
-010,-013,-011,-014,-023
-015,-016,-016,-015,-024
-015,-016,-016,-015,-024
-015,-016,-016,-015,-024
-010,-009,-010,-016,-024
-010,-009,-010,-016,-024
-010,-009,-010,-016,-024
