delta0,delta1,delta2,delta3,delta4
0015,0013,0034,0050,0048
0015,0013,0034,0050,0048
0015,0017,0040,0063,0056
0015,0018,0044,0070,0056
0015,0018,0044,0070,0056
0021,0023,0052,0077,0065
0021,0024,0056,0097,0075
0021,0024,0056,0113,0075
0003,0000,0070,0119,0092
0003,0000,0093,0154,0121
0003,0000,0093,0154,0121
0003,0000,0103,0175,0135
0026,0028,0129,0213,0146
0026,0028,0129,0213,0146
0033,0029,0143,0227,0161
0033,0030,0172,0263,0168
0033,0030,0172,0263,0168
0024,0016,0097,0159,0080
0023,0016,0075,0123,0075
0023,0016,0064,0070,0056
-008,-014,0033,0032,0026
-008,-014,0033,0032,0026
-008,-014,0033,0032,0026
-008,-014,0020,0016,0013
0004,0003,0020,0014,0013
0004,0003,0020,0014,0013
-001,-001,0010,0007,0001
-001,-001,0009,0007,0001
-001,-001,0009,0007,0001
-002,-001,0004,-001,0005
