delta0,delta1,delta2,delta3,delta4
0010,0015,0035,0047,0041
0010,0015,0037,0061,0041
0023,0016,0068,0112,0088
0023,0016,0083,0140,0096
0023,0016,0091,0158,0109
0023,0016,0117,0191,0136
0023,0016,0118,0204,0139
0023,0022,0145,0229,0143
0021,0022,0145,0229,0143
0021,0020,0105,0163,0108
0021,0017,0069,0108,0070
0020,0015,0057,0085,0064
0009,0008,0037,0043,0033
0004,0001,0037,0043,0033
0004,0001,0028,0032,0017
0004,0001,0023,0022,0012
0004,0001,0023,0022,0012
0004,0001,0014,0016,0009
0000,-006,0012,0002,0001
0000,-006,0012,0002,0001
0000,-006,0009,0000,0001
-001,-003,-002,-001,-003
-001,-003,-002,-001,-003
-001,-003,-004,-003,-003
-007,-005,0001,-004,-006
-007,-005,0001,-004,-006
-007,-005,0001,-004,-006
-007,-006,-002,-008,-010
-007,-006,-002,-008,-010
-007,-006,-002,-008,-010
