delta0,delta1,delta2,delta3,delta4
0010,0012,0030,0043,0035
0010,0012,0030,0043,0035
0013,0013,0035,0050,0042
0013,0013,0046,0062,0046
0013,0013,0046,0068,0046
0017,0018,0051,0080,0061
0020,0018,0059,0099,0071
0020,0018,0067,0112,0071
0009,0013,0071,0113,0083
0009,0013,0086,0134,0103
0009,0013,0086,0134,0103
0009,0013,0087,0146,0104
0022,0017,0099,0157,0104
0022,0017,0099,0157,0104
0023,0019,0103,0162,0104
0023,0019,0094,0154,0104
0023,0019,0094,0154,0104
0016,0013,0067,0104,0056
0016,0013,0058,0084,0053
0016,0013,0041,0050,0042
-010,-014,0032,0021,0020
-010,-014,0030,0020,0017
-010,-014,0030,0020,0017
-010,-014,0013,0013,0009
0003,0004,0013,0013,0009
0003,0004,0013,0013,0009
0003,-001,0007,-001,0000
0004,-001,0007,-001,0000
0004,-001,0007,-001,0000
0001,0002,0006,0001,0002
