delta0,delta1,delta2,delta3,delta4
0013,0017,0031,0031,0037
0016,0017,0039,0045,0046
0018,0019,0047,0066,0058
0024,0024,0051,0068,0060
0026,0032,0055,0095,0078
0028,0032,0077,0123,0106
0028,0027,0077,0128,0110
0028,0027,0085,0147,0122
0028,0027,0094,0166,0133
0028,0027,0095,0169,0140
0040,0035,0115,0192,0145
0040,0035,0115,0195,0145
0037,0032,0114,0195,0140
0031,0030,0089,0143,0111
0030,0027,0067,0098,0075
0011,0011,0035,0044,0033
0010,0011,0030,0029,0027
0010,0011,0026,0028,0026
0010,0011,0021,0019,0015
0010,0011,0021,0015,0015
0008,0011,0021,0015,0015
0006,0005,0017,0004,0009
0006,0005,0017,0004,0009
0006,0005,0017,0004,0009
0004,0007,0010,0004,0008
0004,0007,0010,0004,0008
0004,0007,0010,0004,0008
0005,0007,0010,0009,0012
0005,0007,0010,0009,0012
0005,0007,0010,0009,0012
