delta0,delta1,delta2,delta3,delta4
0011,0017,0025,0029,0031
0012,0016,0034,0037,0038
0012,0016,0034,0043,0038
0016,0016,0034,0046,0038
0017,0017,0039,0052,0050
0018,0017,0047,0060,0050
0018,0017,0047,0060,0050
0019,0024,0051,0064,0060
0019,0024,0055,0082,0062
0022,0024,0064,0100,0079
0022,0020,0069,0112,0081
0022,0020,0082,0135,0107
0022,0020,0082,0149,0108
0022,0020,0082,0150,0116
0031,0026,0108,0186,0129
0031,0026,0122,0213,0139
0034,0028,0122,0213,0139
0028,0025,0096,0159,0121
0028,0025,0074,0106,0077
0017,0014,0037,0049,0038
0017,0014,0031,0032,0026
0017,0014,0029,0029,0026
0017,0014,0020,0020,0015
0017,0014,0020,0016,0015
0009,0013,0020,0016,0015
0005,0004,0022,0010,0010
0005,0004,0021,0010,0010
0005,0004,0021,0010,0010
0004,0008,0018,0007,0010
0004,0008,0018,0007,0010
