delta1,delta2,delta3,delta4
0020,0015,0034,0026,
0020,0015,0034,0026,
0022,0026,0043,0038,
0022,0026,0043,0038,
0022,0026,0043,0038,
0020,0032,0048,0042,
0020,0032,0048,0042,
0020,0032,0048,0042,
0022,0028,0046,0035,
0022,0028,0046,0035,
0022,0028,0046,0035,
0015,0026,0034,0022,
0015,0026,0034,0022,
0015,0026,0034,0022,
0016,0017,0023,0013,
0016,0017,0023,0013,
0016,0017,0023,0013,
0007,0008,0006,0004,
0007,0008,0006,0004,
0007,0008,0006,0004,
0004,0002,0001,-003,
0004,0002,0001,-003,
0004,0002,0001,-003,
-002,0003,-004,-008,
-002,0003,-004,-008,
-002,0003,-004,-008,
-002,-003,-008,-003,
-002,-003,-008,-003,
-002,-003,-008,-003,
-002,0000,-003,-009,
