delta1,delta2,delta3,delta4
0009,0014,0029,0025,
0009,0014,0029,0025,
0017,0017,0036,0024,
0017,0017,0036,0024,
0017,0017,0036,0024,
0014,0026,0040,0026,
0014,0026,0040,0026,
0014,0026,0040,0026,
0018,0021,0038,0030,
0018,0021,0038,0030,
0018,0021,0038,0030,
0017,0021,0028,0021,
0017,0021,0028,0021,
0017,0021,0028,0021,
0010,0019,0025,0014,
0010,0019,0025,0014,
0010,0019,0025,0014,
0007,0015,0015,0011,
0007,0015,0015,0011,
0007,0015,0015,0011,
0009,0003,0006,0005,
0009,0003,0006,0005,
0009,0003,0006,0005,
0000,0001,0001,0005,
0000,0001,0001,0005,
0000,0001,0001,0005,
0003,0004,0007,-002,
0003,0004,0007,-002,
0003,0004,0007,-002,
0000,0006,0004,-001,
