delta1,delta2,delta3,delta4
0011,0016,0031,0020,
0011,0016,0031,0020,
0011,0022,0039,0029,
0011,0022,0039,0029,
0011,0022,0039,0029,
0011,0022,0035,0029,
0011,0022,0035,0029,
0011,0022,0035,0029,
0012,0025,0035,0020,
0012,0025,0035,0020,
0012,0025,0035,0020,
0009,0018,0024,0017,
0009,0018,0024,0017,
0009,0018,0024,0017,
0012,0011,0018,0013,
0012,0011,0018,0013,
0012,0011,0018,0013,
0003,0009,0015,0010,
0003,0009,0015,0010,
0003,0009,0015,0010,
0002,0010,0005,0004,
0002,0010,0005,0004,
0002,0010,0005,0004,
0001,0008,0008,0004,
0001,0008,0008,0004,
0001,0008,0008,0004,
-001,0003,-004,0004,
-001,0003,-004,0004,
0000,0003,-003,0004,
0007,0001,0001,0000,
