delta1,delta2,delta3,delta4
0009,0018,0027,0017,
0009,0018,0027,0017,
0016,0015,0024,0015,
0016,0015,0024,0015,
0016,0015,0024,0015,
0010,0015,0023,0016,
0010,0015,0023,0016,
0010,0015,0023,0016,
0006,0010,0009,0015,
0006,0010,0009,0015,
0006,0010,0009,0015,
0004,0007,0006,0009,
0004,0007,0006,0009,
0004,0007,0006,0009,
0004,0009,0010,0003,
0004,0009,0010,0003,
0004,0009,0010,0003,
0002,0002,0005,0004,
0002,0002,0005,0004,
0002,0002,0005,0004,
0000,0002,0005,0004,
0000,0002,0005,0004,
0000,0002,0005,0004,
-003,0004,0006,0007,
-003,0004,0006,0007,
-003,0004,0006,0007,
0013,0004,0002,0000,
0013,0004,0002,0000,
0013,0004,0002,0000,
-002,0003,0002,0005,
