delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,0001,0000,0000,0000,-001,0003,0001,0001
0002,0001,0000,0000,0000,-001,0002,0001,-001
0001,0001,0001,0000,0000,0000,0002,0001,0000
0001,0002,0001,0001,0000,0000,0002,0001,0000
0001,0001,0003,0001,0000,0000,0002,0001,0001
0003,0001,0001,0001,0000,0000,0003,0000,0001
0003,0001,0002,0001,-001,0001,0003,0000,0002
0003,0001,0002,0002,-001,0001,0003,0002,0003
0003,0002,0002,0002,0001,0003,0003,0002,0003
0004,0002,0002,0004,0001,0003,0003,0002,0001
0006,0003,0002,0005,0003,0003,0006,0002,0001
0006,0003,0002,0007,0003,0003,0007,0002,0001
0006,0004,0002,0009,0003,0004,0010,0002,0003
0010,0004,0002,0015,0005,0004,0012,0003,0003
0015,0005,0003,0022,0005,0004,0018,0007,0003
0017,0008,0003,0022,0009,0002,0018,0009,0003
0017,0013,0003,0018,0016,0002,0011,0010,0003
0007,0018,0003,0007,0022,0003,0005,0014,0004
0002,0018,0005,0001,0022,0005,0005,0014,0006
0001,0011,0012,0001,0017,0010,0003,0012,0013
0001,0006,0012,0000,0009,0014,0002,0011,0013
0001,0003,0011,0000,0003,0014,0002,0006,0013
0000,0002,0008,0000,0002,0014,0001,0006,0013
0000,0002,0006,0000,0002,0011,0002,0004,0013
0000,0002,0006,0000,0002,0010,0002,0004,0013
0000,0003,0004,-001,0001,0008,0002,0001,0012
0000,0003,0004,0000,0000,0007,0004,0004,0013
0001,0001,0004,0000,0000,0005,0003,0003,0012
0001,0001,0004,0000,-001,0005,0003,0003,0013
0001,0002,0003,0000,0000,0005,0001,0003,0010
0002,0002,0002,0000,-002,0004,0001,0003,0011
0001,0002,0002,-001,-001,0004,0001,0003,0011
0001,0002,0002,-001,-001,0004,0002,0003,0011
0001,0002,0001,-001,0000,0003,0000,0003,0009
0002,0002,0002,-001,0000,0001,0001,0003,0009
0002,0001,0002,0000,0000,0001,0000,0002,0009
0001,0001,0002,0000,0001,0001,0001,0002,0005
0001,0001,0001,-002,0001,-001,0001,0002,0005
0001,0001,0001,-002,0000,0002,0001,0001,0003
0002,0000,0001,0000,0000,0000,0001,0001,0003
0002,0000,0002,0000,-001,0000,0001,0001,0003
-001,0000,-002,0000,-001,-001,0001,0001,0003
-001,0000,0002,0000,-002,-002,0001,0001,0001
0000,0002,0002,-002,-001,-001,0001,0001,0001
0000,0002,0002,-002,-001,-003,0001,0001,0000
0000,0003,0001,-002,0000,-001,0001,0001,0001
-001,0000,0000,-001,0000,-001,0001,0001,0000
-001,0000,0001,-001,0000,-001,0001,0001,0002
-001,0000,0000,-001,0000,0000,0001,0000,0002
-001,0000,0001,0001,-001,0000,0001,0001,0002
0000,0000,0001,0001,0000,0000,0002,0000,0002
0001,0000,0001,0001,0000,-002,0003,0001,0002
0001,-001,0002,0001,0000,-002,0003,0002,0002
0000,0000,0001,0000,0000,0000,0002,0002,0002
0000,0000,0002,0000,0000,0000,0002,0002,0004
