delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0066,0031,0035,0025,0042,0077,0201,0070,0026
0067,0031,0036,0024,0042,0080,0213,0071,0027
0067,0032,0034,0024,0041,0078,0203,0069,0025
0065,0029,0034,0022,0036,0073,0192,0065,0027
0063,0021,0029,0020,0019,0065,0114,0035,0019
0064,0022,0030,0020,0019,0068,0121,0034,0021
0064,0020,0029,0020,0019,0068,0122,0034,0021
0065,0021,0028,0020,0019,0068,0122,0036,0019
0063,0020,0029,0020,0019,0067,0125,0037,0019
0064,0020,0029,0020,0018,0068,0127,0035,0020
0064,0021,0029,0020,0019,0067,0116,0034,0021
0050,0015,0024,0003,0010,0049,0039,0024,0014
0051,0016,0024,0005,0012,0050,0041,0025,0015
0050,0015,0024,0004,0011,0048,0039,0024,0015
0055,0016,0025,0011,0014,0056,0057,0028,0016
0056,0016,0025,0011,0014,0056,0058,0028,0017
0057,0017,0026,0013,0014,0057,0062,0028,0018
0057,0017,0026,0013,0015,0057,0065,0029,0018
0058,0017,0027,0014,0015,0058,0068,0029,0017
0058,0017,0028,0015,0016,0058,0071,0030,0017
0058,0017,0028,0015,0016,0060,0071,0030,0017
0060,0019,0027,0015,0016,0059,0071,0030,0018
0060,0017,0027,0015,0017,0060,0074,0030,0019
0060,0017,0027,0015,0017,0059,0075,0030,0019
0059,0017,0027,0015,0017,0060,0078,0030,0019
0059,0018,0027,0015,0016,0060,0079,0029,0019
0059,0018,0027,0014,0016,0060,0080,0029,0019
0060,0018,0028,0014,0016,0061,0080,0029,0019
0060,0018,0027,0015,0016,0061,0082,0031,0018
0060,0018,0029,0015,0016,0061,0082,0031,0018
0060,0018,0027,0015,0016,0061,0083,0031,0018
0060,0017,0028,0016,0017,0060,0083,0030,0018
0060,0018,0027,0016,0016,0060,0083,0030,0017
0061,0018,0028,0017,0017,0060,0083,0030,0019
0062,0018,0028,0016,0017,0060,0083,0031,0020
0062,0019,0028,0016,0017,0060,0082,0031,0020
0060,0019,0028,0016,0017,0060,0082,0031,0019
0059,0019,0030,0017,0017,0060,0082,0031,0019
0059,0018,0030,0017,0017,0060,0082,0031,0019
0059,0018,0028,0017,0017,0061,0082,0031,0018
0060,0018,0028,0016,0017,0061,0083,0031,0018
0060,0018,0028,0016,0017,0061,0083,0032,0019
0060,0019,0027,0016,0017,0062,0083,0032,0019
0060,0019,0027,0016,0017,0062,0084,0032,0019
0060,0019,0027,0016,0017,0062,0084,0031,0017
0060,0018,0029,0016,0017,0060,0085,0031,0019
0060,0018,0026,0016,0016,0059,0084,0031,0018
0060,0018,0029,0016,0017,0060,0084,0030,0018
0060,0018,0029,0016,0017,0061,0084,0031,0018
0061,0019,0029,0016,0017,0061,0084,0030,0018
0061,0019,0028,0016,0017,0061,0083,0032,0020
0060,0019,0028,0016,0017,0060,0083,0031,0019
0060,0018,0028,0016,0017,0060,0084,0032,0019
0060,0018,0028,0017,0017,0061,0085,0031,0018
0060,0018,0028,0016,0017,0061,0085,0032,0018
