delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0055,0027,0031,0009,0032,0058,0056,0059,0021
0055,0026,0031,0009,0031,0059,0055,0059,0021
0066,0031,0035,0023,0039,0074,0184,0067,0026
0066,0031,0035,0025,0042,0077,0201,0070,0026
0067,0031,0036,0024,0042,0080,0213,0071,0027
0067,0032,0034,0024,0041,0078,0203,0069,0025
0065,0029,0034,0022,0036,0073,0192,0065,0027
0063,0021,0029,0020,0019,0065,0114,0035,0019
0064,0022,0030,0020,0019,0068,0121,0034,0021
0064,0020,0029,0020,0019,0068,0122,0034,0021
0065,0021,0028,0020,0019,0068,0122,0036,0019
0063,0020,0029,0020,0019,0067,0125,0037,0019
0064,0020,0029,0020,0018,0068,0127,0035,0020
0064,0021,0029,0020,0019,0067,0116,0034,0021
0050,0015,0024,0003,0010,0049,0039,0024,0014
0049,0014,0025,0003,0010,0049,0039,0024,0015
0049,0014,0025,0004,0010,0049,0039,0024,0014
0049,0013,0024,0004,0010,0049,0038,0025,0014
0050,0013,0024,0004,0010,0049,0038,0025,0014
0050,0014,0024,0004,0010,0049,0039,0025,0014
0050,0014,0023,0004,0011,0048,0039,0025,0014
0050,0014,0023,0004,0011,0051,0039,0025,0012
0050,0014,0022,0004,0010,0048,0039,0024,0012
0050,0014,0021,0003,0009,0048,0039,0024,0014
0050,0014,0021,0004,0009,0048,0039,0024,0014
0049,0014,0023,0003,0010,0049,0038,0024,0014
0049,0014,0023,0004,0010,0049,0038,0024,0012
0050,0015,0023,0004,0010,0049,0038,0024,0012
0050,0014,0024,0005,0011,0050,0039,0024,0015
0050,0013,0024,0005,0011,0050,0039,0024,0015
0049,0013,0023,0004,0011,0050,0039,0024,0015
0049,0014,0023,0004,0010,0051,0038,0024,0015
0048,0014,0023,0003,0010,0051,0039,0024,0015
0050,0014,0023,0003,0010,0051,0039,0024,0014
0050,0014,0023,0005,0010,0049,0039,0024,0014
0050,0014,0022,0005,0010,0049,0039,0025,0015
0050,0014,0025,0005,0010,0049,0039,0025,0015
0050,0015,0025,0004,0010,0049,0040,0025,0015
0051,0015,0025,0004,0010,0049,0040,0024,0015
0051,0014,0025,0004,0010,0049,0040,0024,0014
0050,0014,0026,0004,0011,0050,0039,0026,0014
0050,0015,0026,0004,0011,0050,0039,0026,0014
0050,0015,0025,0004,0011,0050,0040,0026,0016
0052,0015,0025,0005,0011,0050,0041,0025,0015
0052,0015,0025,0005,0011,0049,0041,0025,0015
0052,0015,0025,0005,0012,0049,0041,0025,0015
0052,0015,0025,0004,0012,0050,0041,0025,0015
0052,0015,0025,0004,0010,0050,0040,0025,0015
0051,0014,0025,0004,0010,0050,0040,0025,0015
0051,0014,0024,0005,0011,0049,0040,0025,0014
0051,0014,0024,0005,0011,0049,0040,0025,0014
0051,0015,0024,0005,0011,0049,0040,0025,0014
0051,0014,0024,0005,0011,0050,0040,0027,0016
0051,0014,0025,0005,0012,0050,0040,0027,0016
0051,0014,0024,0005,0012,0050,0040,0025,0015
