delta1,delta2,delta3,delta4
00000,-0001,00000,-0001
00001,00000,-0001,00000
00001,00001,-0001,00003
00001,00002,-0001,00002
00001,00001,00000,-0001
00001,00001,-0001,00001
00002,00002,00000,00004
-0001,00004,00001,00001
00002,00001,-0001,00004
00003,00004,00000,00007
00008,00006,00004,00009
00010,00008,00008,00012
00011,00013,00014,00018
00013,00014,00019,00022
00013,00014,00019,00023
00013,00014,00019,00022
00013,00014,00019,00017
00013,00010,00017,00020
00013,00010,00017,00018
00008,00010,00008,00011
00007,00006,00007,00010
00007,00007,00004,00009
00002,00004,00002,00005
00002,00003,00002,00006
00001,00003,00000,00004
00003,00002,00000,00003
00000,00000,00001,00002
00003,00004,-0003,00002
00003,00002,-0002,00003
00002,00002,-0001,00001
00004,-0001,00000,00005
00000,00000,-0001,00002
-0001,-0001,00000,00002
-0001,00002,-0002,00002
00000,00001,-0001,-0001
00001,-0001,-0001,00002
-0001,00000,-0001,00001
00000,00001,00000,00001
00000,00001,-0001,00001
00001,00000,-0001,00002
-0003,00000,00000,00003
00002,00000,-0002,00001
00000,-0001,-0004,00003
00002,00002,-0002,00000
00001,00000,-0002,00002
00003,00001,-0001,00001
00009,00003,-0002,00000
00001,00001,-0001,00002
-0001,00001,-0001,00002
00000,-0001,-0001,00003
00004,00001,-0003,-0002
-0001,00001,-0001,00001
00000,00000,-0002,00001
-0001,00000,00000,00002
00001,00001,-0001,00001
