delta1,delta2,delta3,delta4
00001,00000,-0001,00004
00002,00000,00000,00001
00011,00011,-0002,00003
00002,00001,-0001,00001
00002,-0002,-0002,00000
00001,00000,-0002,-0001
00002,-0001,-0002,00002
-0001,00001,-0001,00001
00003,-0002,-0003,00002
00000,-0001,-0002,00001
-0001,00001,-0001,00002
00005,00003,00000,00003
00002,00003,00002,00006
00009,00008,00005,00012
00013,00011,00019,00030
00013,00011,00019,00043
00013,00011,00019,00059
00013,00011,00019,00091
00013,00011,00019,00145
00013,00011,00019,00313
00022,00017,00070,00492
00022,00017,00072,00492
00023,00017,00063,00492
00023,00017,00061,00492
00024,00017,00053,00492
00022,00017,00042,00492
00021,00015,00034,00076
00014,00010,00017,00033
00013,00010,00017,00033
00013,00010,00017,00033
00011,00010,00017,00033
00010,00010,00017,00033
00008,00010,00017,00033
00007,00005,00004,00012
00007,00005,00004,00009
00007,00005,00005,00011
00007,00005,00003,00009
00007,00005,00001,00006
00007,00005,00002,00007
00003,-0006,-0004,00011
00004,00001,00000,00006
00002,00002,-0001,00003
00005,00000,-0001,00003
00003,00002,00000,00002
00002,00002,-0001,00003
00000,00000,00000,00002
00001,00003,-0001,00003
00001,00001,-0002,00005
00000,00000,-0001,00003
00002,00001,00000,00000
00000,00000,-0002,00002
00001,00000,00000,00001
00001,00001,-0001,00001
-0001,00000,-0001,00003
00002,00000,-0002,00002
