delta1,delta2,delta3,delta4
-0002,00002,00000,00003
00003,00002,00002,-0001
00004,00000,00003,00001
00001,00002,00001,00000
00001,00002,00002,00002
00003,00001,00001,00000
00001,00001,00001,00001
00002,00000,00001,00003
00007,00003,00001,00003
00004,00003,00003,00006
00007,00006,00007,00010
00012,00010,00010,00013
00014,00013,00020,00017
00014,00013,00019,00017
00022,00019,00019,00024
00021,00019,00019,00023
00019,00019,00019,00026
00019,00019,00019,00024
00019,00019,00019,00025
00019,00019,00019,00025
00019,00019,00023,00025
00019,00019,00023,00025
00019,00019,00021,00025
00019,00019,00020,00025
00016,00013,00015,00016
00008,00011,00009,00015
00008,00011,00009,00011
00008,00011,00009,00012
00008,00011,00009,00009
00008,00011,00009,00011
00008,00011,00009,00008
00004,00005,00004,00004
00005,00002,00004,00005
00004,00001,00001,00003
00005,00003,00003,00000
00002,00003,00001,00001
00001,00002,00001,00003
00002,00002,00001,00001
00002,00001,00000,00000
00004,00001,00000,00001
00001,00000,00001,00001
00002,00001,00001,00000
00000,-0001,00001,00000
00000,00000,00000,00000
00002,00002,00000,-0001
00000,00001,00002,-0001
00001,00000,00002,00001
00003,-0001,00001,00001
00000,00001,00002,00000
00003,-0001,00001,00000
00003,00001,00000,00001
00000,00000,00001,00001
00001,00000,00001,-0001
00003,00001,00001,00000
00004,00000,00001,00000
