delta1,delta2,delta3,delta4
-0001,-0001,00000,00000
-0001,00001,00001,00001
00001,00002,00000,00000
-0001,-0001,00002,00002
00002,00000,00001,00002
00000,-0001,00001,00001
00003,00000,00001,00001
00003,00003,00002,00004
00004,00005,00002,00005
00012,00007,00007,00005
00009,00009,00007,00012
00013,00013,00014,00020
00013,00013,00014,00018
00015,00020,00015,00020
00015,00016,00015,00024
00015,00016,00015,00025
00015,00016,00015,00026
00015,00016,00015,00026
00015,00016,00015,00028
00022,00018,00022,00025
00020,00018,00023,00025
00020,00018,00021,00025
00021,00018,00023,00025
00019,00018,00017,00025
00013,00013,00017,00023
00014,00016,00017,00020
00012,00008,00011,00012
00012,00008,00011,00018
00009,00011,00005,00008
00009,00011,00005,00010
00009,00011,00005,00011
00009,00011,00005,00009
00009,00011,00005,00007
00009,00011,00005,00008
00007,00005,00003,00007
00007,00003,00003,00005
00002,00000,00001,00004
00003,00001,00001,00003
-0001,00004,-0002,00002
00012,00004,-0002,00002
00003,00000,00000,00001
-0001,-0001,-0001,00001
-0001,00000,00000,00002
00000,00002,00001,-0001
00003,00001,-0001,00001
-0001,00000,-0001,00001
-0003,-0003,00000,00000
-0001,00001,00000,00001
00001,00000,-0001,00001
00003,-0001,-0001,00003
00002,-0001,00001,-0001
-0001,-0002,00000,00002
-0002,-0001,00000,00001
00000,00000,00000,00001
-0002,-0001,00001,00001
