delta1,delta2,delta3,delta4
00000,00002,00001,00000
00001,00004,00000,00000
00001,-0001,-0001,00001
00002,00005,-0001,00001
00000,00000,00000,00000
00001,00001,00001,00001
-0001,-0001,00000,00002
00002,00001,00000,00003
00004,00003,00002,00004
00007,00007,00005,00009
00010,00008,00008,00015
00010,00015,00015,00014
00014,00011,00011,00021
00014,00011,00011,00022
00014,00011,00011,00024
00014,00011,00011,00024
00014,00011,00011,00034
00014,00011,00011,00023
00017,00017,00020,00026
00017,00017,00021,00026
00017,00017,00022,00026
00017,00017,00021,00026
00017,00017,00022,00026
00017,00017,00020,00026
00016,00017,00022,00028
00016,00017,00019,00028
00016,00014,00019,00026
00016,00014,00017,00024
00015,00013,00018,00024
00014,00012,00017,00022
00015,00011,00015,00021
00014,00011,00013,00021
00015,00010,00014,00019
00012,00012,00010,00018
00011,00009,00014,00018
00014,00011,00012,00018
00012,00009,00012,00017
00014,00008,00011,00017
00013,00009,00012,00019
00014,00012,00013,00018
00014,00009,00013,00016
00013,00010,00013,00016
00011,00009,00013,00015
00011,00009,00013,00017
00010,00008,00010,00016
00009,00008,00011,00018
00008,00008,00010,00013
00008,00008,00010,00013
00008,00008,00010,00013
00008,00008,00010,00010
00008,00008,00010,00014
00008,00008,00010,00009
00008,00005,00006,00009
00002,00001,00003,00005
00004,00003,00003,00005
