delta1,delta2,delta3,delta4
00001,00000,-0001,00003
00002,00001,-0004,-0001
00002,00001,-0002,00001
00000,00000,-0001,00002
00001,00001,-0001,00002
00001,00001,-0002,00001
00004,00001,-0002,00002
00002,00001,-0002,00001
00000,00000,-0002,00002
00003,00001,-0002,00004
00002,00003,-0001,00004
00003,00002,00002,00010
00004,00007,00002,00011
00011,00006,00006,00020
00011,00006,00006,00026
00011,00006,00006,00028
00011,00006,00006,00028
00011,00006,00006,00028
00011,00006,00006,00031
00019,00020,00023,00033
00019,00021,00026,00033
00019,00023,00024,00033
00019,00024,00025,00033
00019,00024,00023,00033
00019,00024,00021,00033
00018,00027,00018,00017
00012,00022,00010,00011
00012,00022,00007,00010
00012,00022,00005,00007
00012,00022,00004,00006
00012,00022,00004,00005
00012,00022,00002,00005
00005,00009,00001,00003
00005,00007,00001,00003
00005,00003,00001,00003
00005,00003,00001,00003
00005,00003,00001,00003
00005,00002,00001,00003
00002,00002,-0001,00002
00003,00000,-0001,00001
00002,00004,-0002,00000
00001,00002,-0002,00003
00001,00001,-0002,00001
00002,00002,-0002,00002
00003,00002,-0002,00001
00001,00002,-0003,00002
00001,00001,-0002,00002
-0001,-0003,-0002,00000
00000,00001,-0001,00002
00004,00001,-0003,00002
00002,00001,-0003,00003
00001,00001,-0001,00002
00000,00002,-0001,00003
00001,-0001,-0001,00003
00001,00000,-0002,00002
