delta1,delta2,delta3,delta4
00002,00001,-0001,00000
00000,00001,00000,00002
00001,00001,00001,00002
00002,00002,-0001,00000
00001,00001,-0001,00002
00001,00001,00000,00002
00001,00003,-0001,00001
00002,00001,00000,00001
00001,00000,00001,00002
00003,00000,00000,00002
00003,00004,00000,00003
00005,00003,00000,00003
00003,00005,00001,00007
00008,00004,00003,00018
00016,00009,00010,00031
00016,00009,00010,00038
00016,00009,00010,00038
00016,00009,00010,00042
00016,00009,00010,00040
00016,00009,00010,00042
00027,00026,00031,00043
00022,00027,00031,00043
00027,00028,00032,00043
00025,00028,00032,00043
00024,00028,00041,00043
00028,00028,00034,00043
00032,00026,00032,00031
00029,00034,00020,00016
00019,00028,00006,00006
00019,00028,00005,00004
00019,00028,00004,00003
00019,00028,00002,00002
00019,00028,00003,00003
00019,00028,00003,00003
00004,00006,00001,00003
00004,00006,00001,00003
00003,00004,00001,00003
00002,00005,00001,00003
00004,00003,00001,00003
00000,00002,00001,00003
00002,00003,00001,00003
00001,00003,00000,00000
00002,00002,00000,00001
00003,00002,00000,00001
00001,00001,-0002,00002
00002,00002,00000,00001
00001,00001,-0001,00003
00001,00002,00000,00003
00001,00002,-0002,00001
00003,-0001,-0001,00003
00001,00001,-0002,00002
00002,00002,00000,00001
00003,00003,-0001,00002
00002,00002,00000,00001
00002,-0003,00001,00002
