delta1,delta2,delta3,delta4
00000,00003,-0003,00002
00002,00002,-0001,00002
00002,00001,00000,00001
00001,00002,-0003,00000
00003,00002,-0001,00001
00002,00004,-0002,00001
00003,00001,-0002,00001
00002,-0001,00001,00002
00001,00002,00000,00003
00002,00003,-0001,00001
-0001,00004,00000,00001
00008,00001,00000,00005
00007,00003,00001,00011
00011,00008,00007,00021
00011,00008,00007,00025
00011,00008,00007,00028
00011,00008,00007,00034
00011,00008,00007,00030
00011,00008,00007,00026
00022,00018,00020,00033
00019,00018,00025,00033
00019,00018,00025,00033
00019,00018,00026,00033
00019,00018,00021,00033
00019,00018,00021,00033
00017,00024,00024,00022
00017,00016,00024,00022
00020,00020,00019,00019
00019,00020,00019,00019
00015,00020,00013,00011
00015,00015,00010,00008
00015,00015,00011,00008
00015,00015,00008,00008
00015,00015,00005,00005
00015,00015,00007,00006
00012,00005,00008,00007
00003,00008,00004,00001
00002,00005,-0001,00001
00000,00002,00002,00003
00003,00001,00000,00002
00003,00002,00000,00000
00005,00001,-0004,00000
00000,00003,-0002,00000
00001,00002,-0001,00002
00000,00002,-0001,00000
00003,00002,-0002,00001
00001,00002,-0003,00000
00003,00002,-0002,00002
00000,00001,-0001,00002
00003,00001,-0002,00003
00001,00003,00001,00003
00002,00002,-0002,00001
00003,00000,-0002,00000
00003,00002,-0003,00000
00004,00004,00000,00001
