delta1,delta2,delta3,delta4
00001,00001,-0001,00002
00001,00003,-0001,00000
00001,00002,-0001,00001
00001,00003,-0002,00000
00002,00001,-0001,00000
00002,00000,-0001,00000
00003,00005,-0001,00001
00001,00000,00000,00001
00003,00003,-0002,00001
00001,00001,00000,00002
00002,00001,00001,00003
00002,00003,00001,00005
00004,00004,00002,00009
00008,00006,00004,00014
00013,00011,00013,00024
00013,00011,00013,00022
00013,00011,00013,00022
00013,00011,00013,00026
00013,00011,00013,00025
00013,00011,00013,00023
00018,00018,00020,00023
00018,00018,00019,00023
00018,00023,00015,00018
00018,00021,00015,00018
00018,00024,00015,00018
00018,00020,00015,00018
00011,00015,00003,00003
00011,00015,00003,00003
00011,00015,00003,00004
00011,00015,00003,00001
00011,00015,00003,00002
00011,00015,00003,00001
00002,00004,00000,00002
00006,00005,00000,00000
00002,00002,-0002,00001
00001,00002,00000,00002
00003,00002,-0003,00001
00002,00001,-0003,00001
00000,00003,-0001,00003
00002,00002,-0002,00000
00001,00002,-0002,00003
00002,00003,-0002,00002
00002,00001,-0001,00001
00003,00002,-0001,00002
00001,00000,-0002,00002
00003,00001,-0002,00002
00003,00003,-0001,00000
00003,00002,-0003,00002
00001,00003,00000,00002
00001,00002,-0001,00002
00002,00004,-0002,00000
00002,00000,-0004,00003
00003,00003,-0001,00001
00002,00003,-0001,00004
00002,00002,-0002,00002
