delta1,delta2,delta3,delta4
0067,0103,0178,0156,
0075,0103,0178,0156,
0075,0103,0178,0156,
0075,0106,0200,0162,
0091,0135,0254,0221,
0097,0151,0285,0242,
0099,0151,0307,0251,
0110,0171,0335,0281,
0110,0171,0335,0281,
0106,0171,0335,0281,
0098,0171,0335,0281,
0095,0171,0335,0281,
0092,0126,0241,0204,
0078,0126,0240,0199,
0073,0116,0200,0169,
0073,0108,0200,0165,
0070,0108,0183,0157,
0070,0108,0183,0157,
0070,0108,0183,0157,
0094,0124,0230,0198,
0094,0135,0232,0211,
0094,0142,0253,0219,
0120,0164,0321,0288,
0120,0181,0347,0308,
0122,0181,0347,0308,
0127,0181,0347,0308,
0127,0181,0347,0308,
0118,0172,0341,0284,
0113,0168,0329,0280,
0100,0144,0279,0242,
