delta1,delta2,delta3,delta4
0110,0188,0429,0294,
0102,0182,0395,0290,
0091,0156,0323,0246,
0088,0133,0277,0208,
0073,0130,0271,0193,
0073,0120,0227,0186,
0073,0120,0227,0186,
0069,0120,0227,0186,
0069,0120,0227,0186,
0069,0120,0227,0186,
0083,0130,0257,0204,
0083,0130,0260,0204,
0083,0130,0262,0204,
0090,0159,0331,0256,
0090,0159,0331,0256,
0090,0159,0331,0256,
0075,0148,0314,0218,
0075,0148,0296,0218,
0075,0134,0256,0203,
0069,0118,0239,0172,
0069,0114,0219,0172,
0069,0114,0219,0172,
0065,0113,0210,0165,
0065,0113,0210,0165,
0065,0113,0210,0165,
0086,0143,0274,0224,
0086,0143,0291,0227,
0086,0146,0313,0232,
0105,0175,0386,0284,
0105,0175,0386,0284,
