delta1,delta2,delta3,delta4
0106,0156,0326,0260,
0091,0156,0326,0260,
0085,0153,0280,0225,
0082,0128,0255,0186,
0067,0099,0194,0151,
0055,0099,0194,0151,
0055,0099,0194,0151,
0055,0099,0194,0151,
0059,0099,0194,0151,
0059,0099,0193,0151,
0044,0082,0169,0120,
0044,0082,0169,0120,
0044,0082,0169,0120,
0060,0100,0202,0157,
0091,0141,0268,0219,
0091,0141,0268,0219,
0088,0130,0249,0206,
0083,0119,0237,0182,
0083,0119,0236,0182,
0079,0119,0235,0178,
0079,0122,0235,0178,
0079,0122,0235,0178,
0081,0125,0243,0192,
0085,0128,0255,0202,
0085,0128,0255,0202,
0077,0118,0221,0176,
0069,0106,0214,0164,
0069,0106,0214,0164,
0069,0106,0214,0164,
0075,0113,0221,0174,
