delta1,delta2,delta3,delta4
0097,0139,0260,0220,
0097,0139,0261,0220,
0115,0157,0289,0262,
0115,0157,0289,0262,
0115,0157,0289,0262,
0136,0180,0348,0320,
0136,0187,0375,0335,
0136,0190,0395,0335,
0129,0191,0396,0335,
0129,0191,0396,0331,
0114,0162,0328,0270,
0106,0153,0316,0260,
0101,0140,0269,0227,
0101,0140,0256,0227,
0097,0137,0252,0216,
0097,0137,0252,0216,
0097,0137,0252,0216,
0108,0151,0276,0248,
0108,0151,0294,0248,
0111,0160,0296,0253,
0130,0192,0370,0339,
0130,0192,0371,0339,
0124,0190,0377,0308,
0108,0168,0371,0285,
0108,0166,0332,0262,
0104,0154,0286,0239,
0092,0140,0266,0218,
0092,0140,0259,0218,
0092,0140,0259,0218,
0098,0141,0255,0222,
