delta1,delta2,delta3,delta4
0056,0082,0161,0127,
0056,0082,0161,0129,
0072,0106,0209,0169,
0077,0124,0250,0198,
0089,0143,0296,0230,
0117,0180,0376,0299,
0117,0180,0376,0299,
0106,0180,0376,0299,
0105,0180,0376,0299,
0105,0180,0376,0299,
0084,0140,0292,0216,
0081,0136,0255,0202,
0067,0110,0210,0162,
0056,0083,0157,0114,
0050,0083,0157,0114,
0050,0083,0157,0114,
0037,0083,0157,0114,
0037,0083,0157,0114,
0037,0075,0146,0112,
0046,0075,0146,0112,
0048,0078,0156,0118,
0049,0080,0157,0125,
0055,0083,0163,0127,
0074,0116,0223,0177,
0092,0137,0266,0212,
0096,0150,0311,0241,
0096,0150,0311,0241,
0096,0150,0311,0241,
0096,0150,0311,0241,
0096,0150,0311,0241,
