delta1,delta2,delta3,delta4
0079,0124,0215,0176,
0079,0124,0220,0176,
0091,0144,0252,0206,
0095,0158,0281,0229,
0099,0171,0309,0247,
0108,0179,0328,0265,
0108,0179,0328,0265,
0093,0151,0272,0227,
0090,0140,0236,0198,
0074,0114,0194,0166,
0070,0097,0160,0137,
0065,0097,0160,0137,
0065,0097,0160,0137,
0060,0097,0160,0137,
0060,0097,0160,0137,
0060,0087,0143,0131,
0062,0087,0143,0131,
0066,0093,0165,0147,
0066,0095,0167,0149,
0066,0108,0180,0150,
0082,0126,0218,0193,
0086,0135,0236,0194,
0090,0140,0260,0212,
0090,0147,0260,0214,
0088,0147,0260,0214,
0088,0147,0260,0214,
0088,0147,0260,0214,
0080,0132,0233,0187,
0076,0121,0208,0174,
0075,0119,0198,0167,
