delta1,delta2,delta3,delta4
0093,0135,0250,0216,
0093,0135,0250,0216,
0071,0108,0190,0155,
0067,0103,0179,0152,
0063,0095,0156,0128,
0047,0080,0136,0106,
0047,0080,0136,0106,
0047,0080,0136,0106,
0047,0080,0136,0106,
0060,0090,0160,0129,
0064,0093,0161,0139,
0065,0095,0173,0145,
0082,0121,0222,0192,
0084,0122,0227,0193,
0087,0127,0228,0193,
0084,0122,0227,0189,
0074,0113,0196,0170,
0064,0092,0165,0139,
0060,0086,0161,0128,
0056,0083,0158,0125,
0056,0083,0158,0125,
0070,0098,0178,0151,
0070,0103,0194,0165,
0075,0115,0214,0173,
0094,0139,0261,0227,
0094,0139,0261,0235,
0094,0139,0261,0235,
0094,0139,0261,0235,
0094,0139,0261,0235,
0078,0115,0208,0167,
