delta1,delta2,delta3,delta4
0071,0111,0219,0173,
0069,0111,0219,0173,
0071,0111,0219,0173,
0071,0111,0219,0173,
0071,0118,0233,0173,
0081,0125,0235,0191,
0085,0136,0271,0211,
0097,0167,0333,0261,
0113,0167,0357,0264,
0113,0191,0407,0304,
0113,0191,0407,0304,
0110,0191,0407,0304,
0110,0191,0407,0304,
0110,0175,0353,0277,
0082,0135,0282,0211,
0080,0130,0261,0192,
0079,0123,0242,0187,
0070,0111,0209,0165,
0070,0111,0209,0165,
0070,0111,0209,0165,
0072,0111,0209,0165,
0072,0111,0209,0165,
0079,0131,0263,0196,
0085,0132,0274,0205,
0096,0161,0336,0261,
0124,0204,0451,0339,
0130,0239,0581,0383,
0141,0239,0581,0383,
0141,0239,0581,0383,
0124,0239,0581,0383,
