delta1,delta2,delta3,delta4
0090,0133,0249,0211,
0090,0133,0249,0211,
0090,0133,0249,0211,
0090,0133,0249,0211,
0083,0128,0225,0187,
0072,0110,0212,0163,
0072,0110,0199,0163,
0072,0110,0193,0163,
0072,0106,0192,0159,
0072,0106,0192,0159,
0072,0106,0192,0159,
0090,0128,0217,0190,
0090,0128,0217,0190,
0090,0128,0217,0190,
0095,0135,0226,0200,
0095,0135,0226,0200,
0095,0135,0226,0200,
0102,0137,0256,0221,
0102,0137,0268,0228,
0102,0137,0268,0228,
0107,0137,0268,0228,
0107,0137,0268,0228,
0108,0140,0284,0228,
0104,0166,0306,0250,
0104,0166,0306,0250,
0101,0146,0260,0217,
0092,0127,0247,0193,
0092,0127,0224,0193,
0092,0127,0215,0183,
0085,0122,0194,0174,
