delta1,delta2,delta3,delta4
0080,0134,0255,0194,
0075,0126,0236,0186,
0075,0126,0236,0186,
0075,0122,0236,0185,
0076,0121,0231,0184,
0076,0121,0231,0184,
0076,0121,0231,0184,
0089,0138,0267,0210,
0089,0146,0289,0230,
0089,0147,0299,0230,
0098,0161,0322,0245,
0098,0161,0322,0245,
0086,0143,0276,0209,
0079,0140,0265,0208,
0075,0125,0232,0179,
0075,0120,0218,0173,
0070,0117,0218,0173,
0070,0117,0220,0173,
0070,0117,0222,0176,
0093,0147,0284,0229,
0102,0166,0334,0261,
0108,0177,0377,0283,
0120,0177,0377,0283,
0120,0177,0377,0283,
0119,0177,0377,0283,
0114,0178,0377,0283,
0105,0178,0364,0270,
0093,0159,0299,0230,
0088,0146,0295,0220,
0088,0146,0278,0220,
