delta1,delta2,delta3,delta4
0077,0118,0228,0180,
0068,0107,0201,0155,
0068,0107,0201,0155,
0064,0101,0200,0150,
0068,0107,0203,0160,
0068,0107,0205,0164,
0077,0122,0232,0185,
0081,0122,0237,0186,
0086,0123,0249,0200,
0086,0121,0249,0200,
0076,0119,0235,0183,
0069,0109,0211,0161,
0069,0106,0209,0159,
0052,0081,0160,0131,
0051,0081,0159,0116,
0051,0081,0159,0116,
0051,0081,0159,0116,
0051,0081,0159,0116,
0062,0092,0184,0144,
0062,0100,0185,0145,
0068,0104,0202,0154,
0083,0121,0236,0196,
0085,0128,0252,0197,
0088,0133,0265,0212,
0088,0133,0265,0212,
0088,0133,0265,0212,
0088,0133,0265,0212,
0085,0133,0265,0202,
0071,0115,0224,0169,
0071,0107,0204,0156,
