delta0,delta1,delta2,delta3,delta4
0012,0009,0033,0019,0023
0016,0013,0033,0027,0028
0016,0013,0034,0032,0029
0016,0015,0037,0035,0036
0022,0017,0053,0050,0045
0025,0026,0061,0071,0063
0029,0028,0069,0088,0069
0034,0036,0096,0124,0102
0051,0047,0106,0150,0130
0051,0047,0108,0152,0131
0051,0047,0113,0167,0141
0051,0047,0120,0167,0147
0071,0059,0120,0163,0148
0090,0059,0114,0160,0147
0090,0055,0099,0137,0138
0072,0035,0075,0100,0100
0051,0026,0062,0073,0072
0034,0021,0045,0049,0055
0034,0021,0044,0035,0042
0034,0021,0038,0035,0035
0034,0021,0035,0035,0035
0018,0008,0030,0020,0024
0015,0005,0029,0019,0022
0015,0005,0028,0018,0019
0012,0005,0027,0015,0019
0012,0008,0023,0014,0018
0012,0008,0023,0014,0018
0010,0006,0020,0011,0016
0010,0005,0020,0011,0013
0010,0005,0020,0011,0013
