delta0,delta1,delta2,delta3,delta4
0018,0019,0031,0036,0032
0018,0019,0031,0038,0032
0028,0028,0040,0059,0050
0028,0030,0042,0064,0050
0028,0030,0044,0066,0051
0045,0036,0053,0082,0076
0045,0036,0053,0082,0076
0038,0034,0043,0069,0067
0036,0023,0041,0064,0055
0032,0022,0038,0052,0045
0023,0022,0026,0033,0035
0015,0014,0021,0029,0024
0014,0014,0021,0026,0024
0014,0014,0021,0024,0024
0011,0011,0013,0014,0015
0011,0011,0013,0014,0015
0011,0011,0013,0014,0015
0007,0009,0014,0017,0015
0007,0009,0014,0017,0015
0007,0009,0014,0016,0015
0012,0013,0010,0013,0018
0012,0013,0010,0013,0018
0013,0013,0010,0013,0018
0007,0009,0015,0015,0012
0007,0009,0015,0015,0012
0007,0009,0015,0015,0012
0011,0006,0011,0014,0012
0011,0006,0011,0014,0012
0011,0006,0011,0014,0012
0006,0007,0012,0013,0014
