delta0,delta1,delta2,delta3,delta4
0017,0015,0034,0031,0028
0022,0015,0035,0036,0028
0031,0030,0050,0064,0054
0031,0030,0050,0064,0054
0040,0026,0045,0067,0055
0031,0017,0040,0050,0041
0031,0017,0028,0040,0041
0020,0014,0025,0028,0026
0013,0009,0019,0022,0019
0013,0009,0018,0021,0019
0013,0009,0018,0019,0019
0014,0009,0012,0013,0014
0014,0009,0012,0013,0014
0010,0009,0012,0013,0014
0010,0007,0016,0014,0007
0010,0007,0016,0014,0007
0011,0007,0016,0017,0007
0006,0006,0019,0011,0007
0006,0006,0019,0011,0007
0006,0006,0017,0011,0007
0004,0007,0016,0010,0013
0004,0007,0016,0010,0013
0004,0007,0016,0010,0013
0008,0012,0013,0012,0013
0008,0012,0013,0012,0013
0013,0010,0013,0012,0013
0007,0006,0013,0010,0009
0007,0006,0013,0010,0009
0007,0006,0013,0010,0009
0010,0009,0012,0009,0013
