delta0,delta1,delta2,delta3,delta4
0024,0028,0034,0042,0040
0036,0045,0045,0062,0053
0036,0045,0055,0074,0061
0040,0043,0055,0077,0064
0041,0043,0067,0092,0072
0048,0043,0069,0100,0082
0050,0038,0069,0103,0083
0050,0038,0066,0108,0090
0050,0038,0066,0108,0090
0050,0038,0061,0103,0088
0050,0029,0057,0100,0086
0047,0024,0050,0086,0079
0043,0019,0039,0069,0067
0032,0014,0035,0061,0058
0032,0014,0034,0058,0054
0032,0014,0031,0050,0044
0032,0014,0027,0039,0039
0023,0014,0025,0037,0037
0021,0007,0020,0022,0025
0014,0006,0019,0021,0021
0012,0004,0013,0016,0017
0009,0002,0013,0016,0012
0009,0002,0012,0013,0012
0009,0002,0012,0012,0008
0005,-002,0012,0005,0003
0005,-002,0012,0005,0003
0006,0002,0008,0005,0007
0007,0003,0008,0008,0010
0007,0004,0003,0007,0011
0007,0004,0002,0007,0011
