delta0,delta1,delta2,delta3,delta4
0027,0027,0037,0049,0042
0031,0027,0038,0055,0046
0043,0036,0049,0085,0076
0043,0036,0049,0085,0076
0034,0032,0038,0060,0058
0023,0015,0033,0059,0047
0021,0015,0023,0034,0037
0021,0015,0023,0029,0032
0014,0012,0020,0024,0022
0014,0012,0020,0024,0022
0013,0012,0017,0023,0022
0010,0010,0010,0014,0018
0010,0010,0010,0014,0018
0010,0010,0010,0014,0018
0011,0012,0011,0014,0019
0011,0012,0011,0014,0019
0011,0012,0011,0014,0019
0009,0008,0007,0012,0012
0009,0008,0007,0012,0012
0009,0008,0007,0012,0012
0009,0008,0011,0013,0012
0009,0008,0011,0013,0012
0010,0008,0011,0013,0012
0011,0011,0010,0014,0015
0011,0011,0010,0014,0015
0011,0011,0010,0014,0015
0013,0012,0009,0012,0019
0013,0012,0009,0012,0019
0011,0012,0009,0012,0019
0011,0009,0009,0012,0015
