delta0,delta1,delta2,delta3,delta4
0019,0023,0031,0039,0038
0025,0029,0037,0051,0038
0027,0039,0044,0057,0048
0027,0039,0044,0057,0048
0032,0045,0053,0072,0059
0042,0048,0064,0087,0071
0042,0048,0064,0087,0071
0042,0042,0064,0088,0074
0042,0042,0063,0093,0081
0042,0042,0063,0093,0081
0043,0035,0052,0088,0079
0043,0029,0052,0087,0078
0043,0029,0052,0087,0078
0038,0029,0041,0067,0064
0032,0022,0038,0064,0057
0032,0022,0038,0064,0057
0026,0020,0024,0042,0037
0020,0012,0023,0033,0033
0020,0012,0023,0033,0033
0005,0011,0014,0024,0022
0005,0011,0014,0021,0022
0005,0011,0014,0021,0022
0001,0007,0008,0021,0014
0001,0007,0008,0012,0014
0001,0007,0008,0012,0014
-001,0009,0007,0012,0012
-001,0007,0007,0016,0012
-001,0007,0007,0016,0012
0002,0007,0009,0013,0012
0002,0008,0009,0013,0011
