delta0,delta1,delta2,delta3,delta4
0026,0035,0042,0065,0055
0048,0074,0070,0095,0090
0049,0188,0111,0123,0096
0081,0188,0197,0220,0161
0081,0158,0197,0220,0161
0081,0080,0175,0238,0168
0081,0077,0171,0207,0147
0081,0060,0137,0200,0147
0058,0025,0059,0106,0083
0046,0018,0057,0093,0064
0040,0018,0038,0066,0057
-005,-017,0020,0038,0034
-005,-017,0020,0032,0030
-005,-017,0020,0032,0030
-005,-017,0017,0026,0018
0012,0008,0016,0015,0017
0012,0008,0016,0015,0017
0009,0003,0013,0015,0017
0008,0002,0010,0010,0008
0008,0002,0010,0010,0008
0002,0002,0009,0009,0005
0002,0003,0007,0009,0005
0002,0003,0007,0009,0005
-002,0004,0005,0011,0009
-002,0004,0004,0007,0009
-002,0004,0004,0007,0009
0002,0007,0004,0006,0010
0002,0004,0006,0006,0007
0002,0004,0006,0006,0007
0001,0004,0004,0007,0007
