delta0,delta1,delta2,delta3,delta4
0009,0007,0034,0022,0022
0015,0009,0037,0022,0027
0016,0011,0037,0030,0034
0017,0011,0037,0037,0035
0018,0015,0037,0038,0042
0024,0019,0052,0049,0052
0025,0023,0061,0067,0062
0027,0023,0065,0081,0063
0031,0032,0086,0112,0087
0043,0047,0099,0139,0120
0043,0047,0105,0149,0121
0043,0047,0116,0173,0143
0043,0047,0129,0191,0152
0051,0075,0137,0202,0154
0070,0081,0147,0205,0176
0086,0081,0147,0205,0176
0103,0072,0129,0183,0176
0140,0072,0129,0177,0178
0160,0072,0129,0177,0178
0161,0072,0129,0177,0178
0161,0072,0129,0177,0178
0124,0072,0125,0173,0169
0054,0026,0070,0083,0079
0034,0019,0045,0045,0049
0024,0019,0045,0045,0049
0019,0019,0038,0029,0027
0019,0019,0032,0028,0026
0019,0019,0030,0024,0024
0014,0002,0030,0021,0022
0011,0002,0033,0019,0022
