delta0,delta1,delta2,delta3,delta4
0016,0018,0026,0033,0032
0016,0018,0026,0033,0033
0040,0052,0058,0086,0076
0040,0052,0058,0086,0076
0040,0052,0069,0092,0076
0061,0051,0087,0133,0116
0075,0051,0087,0133,0116
0075,0051,0085,0133,0118
0075,0051,0078,0123,0120
0075,0051,0078,0123,0120
0051,0026,0051,0079,0078
0049,0016,0037,0073,0055
0028,0016,0032,0047,0036
0028,0016,0032,0043,0036
0028,0016,0021,0029,0026
0028,0016,0021,0029,0026
0022,0015,0021,0025,0026
0009,-001,0013,0011,0008
0018,0011,0024,0024,0024
0010,0011,0023,0017,0015
0010,0011,0023,0017,0015
0010,0011,0021,0017,0015
0014,0010,0018,0014,0015
0014,0010,0018,0014,0015
0011,0010,0018,0013,0015
0008,0008,0015,0011,0011
0008,0008,0015,0011,0011
0008,0008,0015,0011,0011
0010,0008,0018,0014,0011
0010,0008,0018,0014,0011
