delta0,delta1,delta2,delta3,delta4
0025,0033,0040,0056,0044
0032,0038,0040,0058,0054
0046,0049,0069,0096,0085
0046,0049,0069,0109,0086
0046,0040,0076,0110,0088
0046,0040,0068,0118,0101
0046,0040,0068,0118,0101
0046,0040,0064,0094,0092
0046,0034,0051,0091,0079
0040,0023,0048,0074,0070
0025,0008,0040,0067,0057
0025,0008,0030,0049,0042
0025,0008,0030,0049,0042
0025,0008,0030,0040,0037
0025,0010,0026,0029,0024
0015,0010,0026,0029,0024
0015,0009,0023,0018,0020
0010,0008,0020,0016,0017
0010,0008,0020,0016,0017
0010,0008,0019,0014,0017
0011,0009,0019,0014,0015
0011,0009,0019,0014,0015
0011,0009,0022,0012,0014
0007,0010,0012,0012,0014
0007,0010,0012,0012,0014
0007,0007,0012,0013,0016
0010,0007,0014,0013,0012
0010,0007,0014,0013,0012
0007,0007,0014,0009,0012
0007,0007,0013,0009,0007
