delta0,delta1,delta2,delta3,delta4
0014,0019,0056,0074,0059
0025,0043,0082,0118,0092
0025,0047,0095,0136,0092
0025,0047,0103,0149,0113
0025,0047,0103,0149,0113
0025,0047,0085,0124,0099
0065,0038,0080,0112,0093
0065,0036,0069,0097,0086
0039,0014,0046,0056,0049
0021,0011,0034,0039,0037
0021,0011,0034,0037,0036
0021,0011,0019,0014,0009
0021,0011,0019,0013,0007
0004,-003,0019,0013,0007
-008,-009,0000,-007,-017
-008,-009,0000,-007,-017
-010,-009,0000,-007,-017
-011,-013,-007,-011,-017
-011,-013,-007,-011,-017
-011,-013,-007,-011,-017
-011,-013,-008,-012,-016
-011,-013,-008,-012,-016
-011,-015,-008,-012,-016
-011,-013,-010,-014,-021
-011,-013,-010,-014,-021
-011,-013,-010,-014,-021
-011,-010,-009,-016,-023
-011,-010,-009,-016,-023
-011,-010,-009,-016,-023
-011,-014,-014,-015,-021
