delta0,delta1,delta2,delta3,delta4
0014,0021,0046,0058,0046
0018,0024,0059,0079,0055
0019,0031,0069,0098,0068
0034,0045,0090,0128,0108
0051,0046,0090,0128,0113
0051,0046,0092,0129,0116
0051,0046,0089,0128,0117
0051,0046,0089,0126,0117
0076,0041,0080,0109,0107
0076,0034,0076,0104,0098
0049,0026,0062,0081,0068
0020,0006,0035,0034,0034
0015,0002,0031,0021,0020
0015,0002,0022,0017,0014
0015,0002,0020,0011,0013
0015,0002,0016,0009,0006
0003,0001,0014,0008,0006
-002,0001,0010,0002,0003
-002,0001,0008,-001,-002
-002,0001,0001,-001,-002
-002,0000,0001,-001,-002
-005,0000,0000,-004,-006
-005,0000,0000,-004,-006
-005,-003,0000,-005,-006
-008,-005,0001,-005,-008
-008,-005,0001,-005,-008
-008,-005,0001,-002,-008
-005,-004,0003,-002,-010
-005,-004,0003,-002,-010
-005,-004,0001,-007,-010
