delta0,delta1,delta2,delta3,delta4
0014,0015,0030,0032,0040
0021,0027,0045,0046,0052
0029,0031,0058,0069,0062
0029,0031,0058,0069,0062
0031,0028,0043,0046,0054
0024,0024,0040,0039,0044
0024,0024,0040,0039,0044
0014,0015,0025,0021,0029
0010,0015,0025,0019,0024
0010,0015,0025,0019,0024
0010,0014,0018,0015,0024
0009,0014,0018,0015,0024
0009,0014,0018,0015,0024
0009,0010,0021,0015,0017
0010,0010,0020,0015,0017
0010,0010,0020,0015,0017
0010,0010,0018,0015,0017
0007,0010,0018,0014,0017
0007,0010,0018,0014,0017
0007,0014,0017,0012,0019
0004,0016,0017,0012,0022
0004,0016,0017,0012,0022
0004,0012,0016,0014,0018
0008,0012,0016,0014,0018
0008,0012,0016,0014,0018
0008,0009,0017,0014,0014
0006,0009,0017,0012,0014
0006,0009,0017,0012,0014
0006,0011,0019,0010,0013
0008,0010,0019,0010,0013
