delta0,delta1,delta2,delta3,delta4
0023,0020,0027,0039,0035
0026,0021,0030,0042,0035
0028,0025,0037,0050,0042
0033,0028,0046,0066,0054
0038,0036,0046,0075,0061
0041,0032,0053,0082,0069
0041,0032,0053,0082,0069
0039,0024,0042,0076,0069
0038,0024,0042,0075,0068
0038,0023,0042,0067,0065
0028,0020,0027,0052,0048
0025,0016,0027,0044,0043
0024,0015,0025,0038,0040
0016,0009,0017,0027,0031
0016,0009,0017,0023,0025
0014,0009,0013,0023,0023
0013,0007,0012,0018,0020
0013,0007,0012,0018,0020
0011,0007,0011,0018,0020
0012,0008,0008,0012,0015
0012,0007,0008,0011,0015
0012,0007,0008,0010,0014
0008,0006,0005,0010,0009
0008,0006,0005,0010,0009
0008,0006,0005,0010,0009
0004,0002,0005,0008,0011
0004,0002,0005,0008,0011
0004,0002,0005,0008,0011
0003,0005,0006,0006,0006
0003,0005,0006,0006,0006
