delta0,delta1,delta2,delta3,delta4
0019,0019,0030,0045,0035
0019,0019,0035,0045,0037
0039,0042,0059,0081,0070
0046,0058,0072,0109,0089
0049,0058,0097,0140,0110
0049,0058,0105,0169,0135
0049,0058,0105,0169,0135
0049,0058,0093,0156,0135
0063,0057,0087,0144,0133
0063,0043,0062,0102,0098
0030,0019,0036,0061,0046
0030,0018,0035,0039,0040
0030,0018,0029,0036,0036
0030,0018,0024,0030,0031
0030,0018,0020,0026,0022
0017,0014,0020,0026,0022
0017,0013,0020,0023,0022
0012,0007,0014,0014,0019
0012,0007,0014,0014,0019
0012,0007,0014,0014,0019
0013,0006,0014,0012,0013
0013,0006,0014,0012,0013
0012,0006,0014,0012,0013
0004,0006,0021,0013,0011
0004,0006,0021,0013,0011
0004,0006,0018,0013,0011
0006,0005,0014,0016,0009
0006,0005,0014,0016,0009
0006,0005,0014,0012,0009
0009,0010,0015,0012,0013
