delta0,delta1,delta2,delta3,delta4
0017,0016,0027,0031,0032
0017,0016,0027,0036,0032
0033,0036,0042,0060,0052
0034,0036,0048,0072,0059
0039,0040,0060,0087,0061
0059,0057,0097,0140,0119
0069,0057,0097,0154,0131
0069,0057,0091,0156,0136
0069,0057,0083,0154,0131
0069,0057,0076,0130,0127
0050,0028,0054,0092,0085
0043,0022,0049,0072,0073
0029,0015,0035,0048,0044
0029,0015,0029,0038,0037
0029,0015,0023,0032,0026
0029,0015,0023,0032,0026
0018,0014,0023,0026,0026
0014,0010,0020,0016,0018
0014,0010,0020,0016,0018
0014,0010,0020,0016,0018
0012,0008,0022,0017,0011
0012,0008,0022,0017,0011
0012,0008,0020,0013,0011
0006,0008,0020,0013,0014
0006,0008,0020,0013,0014
0006,0008,0020,0014,0014
0010,0008,0017,0016,0015
0010,0008,0017,0016,0015
0010,0008,0017,0015,0015
0004,0007,0020,0013,0008
