delta0,delta1,delta2,delta3,delta4
0015,0021,0024,0034,0034
0017,0021,0027,0037,0034
0031,0037,0043,0065,0055
0031,0037,0053,0073,0055
0036,0043,0058,0080,0059
0053,0051,0085,0127,0103
0064,0051,0085,0127,0103
0064,0051,0075,0123,0113
0064,0051,0061,0120,0105
0064,0051,0060,0107,0105
0042,0029,0045,0075,0079
0041,0029,0040,0070,0061
0041,0029,0040,0060,0058
0041,0029,0037,0046,0047
0041,0029,0028,0037,0039
0028,0017,0025,0036,0039
0019,0011,0025,0026,0025
0010,0008,0021,0022,0019
0009,0008,0021,0022,0019
0009,0008,0017,0019,0019
0009,0006,0012,0016,0010
0009,0006,0012,0016,0010
0009,0005,0012,0012,0010
0011,0005,0018,0011,0013
0011,0005,0018,0011,0013
0009,0009,0018,0011,0016
0009,0009,0013,0012,0016
0009,0009,0013,0012,0016
0015,0006,0013,0012,0012
0011,0006,0009,0013,0007
