time,delta0,delta1,delta2,delta3,delta4
14,0011,0010,0009,0020,0022,
15,0011,0010,0009,0020,0022,
16,0011,0009,0009,0025,0022,
17,0013,0009,0012,0025,0027,
18,0013,0010,0012,0027,0027,
19,0013,0010,0012,0028,0027,
20,0012,0007,0016,0028,0026,
21,0012,0007,0016,0028,0026,
22,0012,0008,0017,0037,0032,
23,0014,0012,0022,0037,0039,
24,0014,0012,0022,0040,0039,
25,0014,0012,0022,0044,0044,
26,0020,0018,0026,0048,0048,
27,0022,0018,0026,0050,0050,
28,0023,0019,0037,0057,0057,
29,0027,0021,0039,0062,0060,
30,0028,0023,0043,0063,0062,
31,0028,0023,0046,0069,0062,
32,0027,0022,0050,0069,0062,
33,0027,0022,0050,0069,0062,
34,0027,0022,0050,0070,0059,
35,0029,0028,0053,0070,0063,
36,0030,0028,0053,0071,0063,
37,0030,0028,0057,0072,0063,
38,0030,0028,0059,0074,0064,
39,0030,0028,0059,0074,0064,
40,0030,0029,0069,0076,0065,
41,0029,0029,0069,0076,0065,
42,0029,0029,0069,0076,0065,
43,0029,0027,0078,0081,0064,
44,0029,0027,0078,0082,0065,
45,0029,0027,0087,0086,0065,
46,0027,0026,0089,0092,0065,
47,0029,0024,0094,0092,0067,
48,0029,0024,0094,0097,0067,
49,0029,0024,0100,0105,0067,
50,0020,0021,0104,0116,0066,
51,0020,0021,0105,0118,0066,
52,0020,0021,0105,0129,0066,
53,0020,0021,0105,0133,0064,
54,0024,0021,0102,0143,0064,
55,0024,0019,0102,0158,0065,
56,0025,0019,0086,0161,0065,
57,0025,0019,0080,0164,0065,
58,0025,0016,0076,0167,0067,
59,0023,0016,0057,0167,0067,
60,0023,0016,0052,0155,0067,
61,0023,0014,0047,0153,0081,
62,0026,0016,0038,0145,0082,
63,0026,0016,0038,0140,0097,
64,0026,0016,0037,0128,0114,
65,0023,0013,0037,0111,0121,
66,0023,0013,0037,0094,0127,
67,0024,0013,0037,0081,0144,
68,0030,0020,0037,0069,0144,
69,0031,0020,0037,0069,0123,
70,0031,0020,0040,0069,0114,
71,0031,0020,0040,0069,0092,
72,0031,0020,0040,0068,0087,
73,0029,0018,0039,0058,0070,
74,0018,0009,0021,0035,0040,
75,0016,0009,0021,0034,0036,
76,0014,0008,0020,0031,0035,
77,0011,0005,0014,0018,0017,
78,0011,0005,0014,0018,0017,
79,0009,0005,0014,0018,0017,
80,0008,0002,0010,0015,0007,
81,0008,0002,0010,0015,0007,
82,0008,0002,0010,0015,0007,
83,0005,-002,0012,0005,0002,
84,0005,-002,0010,0005,0002,
85,0005,0003,0010,0005,0002,
86,0005,0003,0004,0003,0005,
87,0005,0003,0004,0003,0005,
88,0003,0001,0001,0003,0005,
89,0008,0006,0004,0005,0003,
