time,delta0,delta1,delta2,delta3,delta4
887,0001,0000,0002,0004,0002,
888,0001,0001,0002,0004,0002,
889,0001,0001,0002,0004,0002,
890,0005,0001,0005,0010,0009,
891,0010,0001,0005,0010,0009,
892,0010,0001,0007,0010,0009,
893,0009,0005,0009,0021,0012,
894,0009,0006,0013,0021,0012,
895,0009,0006,0013,0021,0012,
896,0010,0006,0014,0031,0025,
897,0016,0006,0019,0031,0028,
898,0016,0006,0019,0031,0028,
899,0019,0016,0023,0038,0031,
900,0017,0016,0028,0039,0031,
901,0017,0016,0031,0039,0031,
902,0017,0016,0032,0051,0041,
903,0022,0020,0040,0051,0041,
904,0022,0020,0041,0051,0041,
905,0022,0021,0043,0056,0047,
906,0026,0024,0059,0056,0047,
907,0026,0024,0059,0056,0047,
908,0026,0025,0068,0066,0052,
909,0026,0025,0071,0066,0052,
910,0026,0025,0081,0066,0052,
911,0022,0019,0082,0073,0049,
912,0022,0019,0101,0077,0049,
913,0025,0026,0104,0087,0049,
914,0025,0026,0106,0095,0052,
915,0025,0026,0104,0110,0052,
916,0025,0026,0098,0119,0052,
917,0025,0026,0089,0121,0053,
918,0025,0026,0088,0144,0057,
919,0025,0026,0086,0170,0057,
920,0022,0012,0071,0178,0057,
921,0018,0012,0062,0254,0064,
922,0018,0012,0052,0254,0096,
923,0018,0013,0035,0179,0120,
924,0021,0013,0035,0120,0161,
925,0021,0013,0035,0082,0161,
926,0026,0009,0028,0060,0082,
927,0026,0009,0028,0055,0072,
928,0026,0009,0028,0055,0067,
929,0026,0009,0026,0043,0053,
930,0026,0009,0023,0043,0050,
931,0014,0009,0023,0043,0050,
932,0014,0003,0017,0030,0029,
933,0010,0003,0017,0030,0029,
934,0010,0003,0017,0030,0029,
935,0009,0001,0010,0018,0010,
936,0009,0001,0010,0018,0010,
937,0009,0001,0010,0018,0010,
938,0007,-005,0004,0005,0000,
939,-002,-005,0004,0005,0000,
940,-002,-005,0004,0005,0000,
941,-002,0000,-001,0000,0000,
942,0003,0000,-001,0000,0000,
943,0003,0000,-001,0000,0000,
