time,delta0,delta1,delta2,delta3,delta4
345,0004,0002,0004,0014,0010,
346,0005,0004,0007,0014,0010,
347,0007,0005,0007,0014,0016,
348,0007,0006,0008,0019,0016,
349,0008,0006,0009,0019,0016,
350,0010,0008,0012,0022,0018,
351,0010,0008,0014,0023,0019,
352,0014,0008,0014,0024,0019,
353,0014,0009,0014,0024,0026,
354,0014,0009,0014,0031,0026,
355,0014,0010,0017,0031,0026,
356,0014,0011,0019,0035,0030,
357,0014,0014,0021,0039,0032,
358,0021,0014,0023,0039,0033,
359,0021,0015,0026,0040,0043,
360,0021,0017,0031,0043,0043,
361,0018,0017,0031,0043,0043,
362,0019,0017,0031,0047,0042,
363,0019,0017,0032,0050,0042,
364,0024,0016,0034,0050,0042,
365,0024,0018,0037,0050,0047,
366,0024,0019,0039,0053,0047,
367,0025,0019,0041,0054,0047,
368,0025,0019,0041,0054,0048,
369,0025,0019,0043,0054,0048,
370,0022,0019,0050,0054,0048,
371,0025,0022,0052,0057,0052,
372,0025,0027,0055,0063,0052,
373,0025,0027,0059,0063,0052,
374,0022,0022,0059,0065,0051,
375,0022,0022,0065,0070,0051,
376,0023,0022,0070,0070,0051,
377,0023,0022,0072,0071,0049,
378,0023,0022,0072,0078,0049,
379,0022,0022,0087,0078,0049,
380,0022,0020,0087,0080,0051,
381,0022,0020,0089,0090,0051,
382,0020,0018,0093,0099,0051,
383,0019,0017,0093,0104,0055,
384,0017,0017,0087,0123,0055,
385,0017,0017,0084,0123,0055,
386,0017,0017,0083,0123,0060,
387,0017,0017,0083,0139,0058,
388,0019,0015,0076,0140,0058,
389,0021,0015,0064,0153,0058,
390,0021,0015,0054,0172,0065,
391,0021,0015,0054,0172,0075,
392,0019,0013,0033,0154,0075,
393,0019,0013,0033,0143,0096,
394,0020,0013,0033,0121,0133,
395,0020,0015,0033,0096,0167,
396,0020,0017,0033,0082,0167,
397,0026,0018,0033,0080,0131,
398,0026,0018,0032,0063,0075,
399,0014,0013,0025,0046,0050,
400,0014,0013,0022,0043,0050,
401,0014,0013,0017,0036,0034,
402,0014,0013,0017,0033,0033,
403,0014,0006,0016,0033,0033,
404,0008,0001,0011,0029,0016,
405,0008,0001,0011,0022,0016,
406,0009,0001,0008,0022,0016,
407,0009,0000,0005,0017,0009,
408,0009,0000,0005,0014,0009,
409,0006,0000,0006,0014,0009,
410,0006,0000,0006,0014,0004,
411,0006,0000,0006,0010,0004,
412,0000,0000,0006,0010,0004,
413,-002,0000,0003,0007,0005,
414,-002,0000,0003,0006,0005,
415,0001,0000,0003,0006,0005,
