delta1,delta2,delta3,delta4
00000,00002,00001,00001
00001,-0002,00001,00003
00000,00001,00000,00001
00000,-0002,00001,00001
00001,00000,00001,00000
-0001,00003,00000,00000
00001,00000,00000,00001
00001,00003,00001,00001
00001,00002,00001,00001
00000,00001,00000,00000
00003,00001,00000,00002
00002,00002,00003,00003
00004,00005,00002,00002
00014,00016,00004,00006
00032,00030,00019,00023
00030,00027,00019,00027
00029,00019,00019,00034
00024,00019,00019,00035
00018,00019,00019,00032
00018,00019,00019,00024
00007,00003,00007,00014
00007,00003,00007,00009
00007,00003,00007,00005
00007,00003,00007,00006
00007,00003,00007,00005
00007,00003,00007,00003
00002,00001,00002,00004
00001,00003,00001,00003
00003,00001,00000,00002
-0001,00000,00001,00004
00000,00001,00001,00003
00002,00000,-0001,00002
00002,00001,00001,00003
00000,00001,00001,00002
00000,00000,00000,00000
00000,00001,00002,00002
00000,-0004,00000,00000
00003,00002,00000,00000
00002,00001,00000,00002
00002,00002,00001,00001
-0001,00001,00002,00003
00000,00000,00000,00001
00000,00001,00001,00002
00001,00000,00001,00002
00001,00000,00000,00002
00002,00001,00001,00003
00002,00000,00005,00005
00003,00001,00002,00003
00003,00003,00001,00003
00002,00001,00002,00003
00002,00001,00001,00002
00004,00003,00003,00000
00002,00001,00001,00002
00002,00001,00001,00000
00003,00001,00001,00001
