delta1,delta2,delta3,delta4
00003,00002,-0002,00001
00002,00002,-0001,00001
00003,00002,-0001,00001
00003,00003,00000,00000
00002,00001,00001,00001
00003,00002,-0002,00001
00006,00002,00000,00001
00003,00002,00000,00003
00003,00004,00000,00001
00003,00003,-0001,00001
00005,00007,00001,00003
00007,00009,00002,00003
00011,00014,00006,00005
00020,00017,00011,00013
00024,00017,00011,00013
00028,00017,00011,00013
00030,00017,00011,00013
00031,00017,00011,00013
00032,00017,00011,00013
00031,00024,00029,00048
00031,00025,00031,00059
00031,00023,00031,00064
00031,00023,00028,00061
00031,00020,00025,00054
00031,00020,00021,00052
00031,00013,00021,00052
00016,00011,00010,00026
00016,00011,00004,00026
00016,00011,00001,00026
00016,00011,00003,00026
00016,00011,00001,00026
00016,00011,00000,00026
00002,00004,00000,00005
00005,00004,00000,00005
00003,00004,00000,00002
00003,00004,00000,00003
00004,00004,00000,00004
00006,00004,00000,00004
00002,00002,-0001,00002
00003,00000,00001,00002
00002,00003,00000,00004
00002,00003,-0001,00002
00003,00003,-0001,00001
00003,00001,-0001,00002
00002,00003,00001,00002
00002,00000,00001,00002
00004,00000,-0002,00000
00000,00003,-0002,00003
00001,00000,00000,00001
00004,00001,-0001,00001
00002,00001,00001,00001
00001,00001,-0002,00003
00005,00002,-0001,-0001
00002,00001,-0001,00002
00002,00002,-0003,00002
