delta1,delta2,delta3,delta4
00003,00003,-0002,00003
00002,00002,-0001,00001
00003,00002,00000,00002
00002,00002,00000,00002
00003,00003,00000,00004
00003,00003,-0002,00002
00003,00004,00000,00002
00003,00003,00000,00002
00005,00006,-0001,00002
00004,00005,00001,-0001
00005,00008,-0001,00001
00007,00006,00001,00001
00005,00009,00001,00005
00006,00016,00002,00005
00011,00031,00003,00005
00011,00033,00003,00005
00011,00041,00003,00005
00011,00041,00003,00005
00011,00045,00003,00005
00011,00042,00003,00005
00043,00037,00019,00014
00053,00037,00019,00014
00060,00037,00019,00014
00062,00037,00019,00014
00059,00037,00019,00014
00051,00037,00019,00014
00041,00015,00009,00042
00041,00007,00009,00041
00041,00006,00009,00031
00041,00008,00009,00021
00041,00005,00009,00012
00041,00004,00009,00012
00007,00007,00000,00006
00005,00007,00000,00006
00006,00007,00000,00006
00006,00007,00000,00006
00005,00007,00000,00006
00003,00007,00000,00006
00003,00002,-0001,00002
00003,00003,-0002,00001
00002,00002,-0002,00000
00004,00003,-0003,00000
00001,00001,-0003,00001
00002,00002,-0001,00003
00003,00001,00000,00003
00003,00002,-0003,00002
00002,00000,-0003,00003
00002,00002,-0002,00001
00001,00002,-0003,00000
00003,00002,-0001,00001
00003,00002,-0002,00002
00001,00002,-0002,00002
00002,00003,00000,00002
00002,00001,00000,00001
00002,00001,-0001,00001
