time,delta0,delta1,delta2,delta3,delta4
0,0015,0011,0021,0025,0027,
1,0015,0015,0027,0033,0036,
2,0021,0016,0028,0034,0038,
3,0032,0020,0037,0049,0049,
4,0032,0030,0047,0064,0053,
5,0035,0031,0050,0070,0064,
6,0035,0030,0058,0084,0066,
7,0035,0026,0058,0084,0066,
8,0019,0019,0043,0080,0056,
9,0017,0015,0034,0063,0052,
10,0016,0013,0022,0038,0044,
11,0005,0007,0015,0018,0018,
12,0004,0003,0008,0014,0017,
13,0004,0003,0006,0008,0015,
14,0002,0001,0005,0003,0006,
15,0002,0001,0005,0003,0006,
16,0002,0001,0005,0003,0006,
17,0001,0000,-002,-002,0000,
18,0001,0000,-002,-002,0000,
19,0001,0000,-002,-002,0000,
20,0001,0000,-003,-002,0001,
21,0001,0000,-003,-002,0001,
22,0001,0000,-003,-002,0001,
23,0001,0001,-002,-002,0000,
24,0002,0001,-002,-002,0000,
25,0002,0001,-001,-002,0000,
26,0000,0000,-001,-004,0001,
27,0000,0000,-001,-004,0001,
28,0000,0000,-003,-004,0001,
29,-003,-002,-003,-001,0001,
