time,delta0,delta1,delta2,delta3,delta4
0,0011,0010,0021,0025,0036,
1,0012,0011,0026,0032,0036,
2,0018,0018,0033,0046,0044,
3,0023,0020,0038,0048,0051,
4,0023,0021,0041,0059,0057,
5,0025,0023,0045,0065,0064,
6,0023,0023,0045,0065,0064,
7,0022,0017,0035,0062,0061,
8,0013,0013,0035,0048,0060,
9,0011,0012,0026,0026,0039,
10,0005,0012,0016,0018,0028,
11,0005,0004,0014,0013,0023,
12,0004,0004,0014,0008,0016,
13,0003,0002,0006,0008,0013,
14,0002,0001,0006,0005,0013,
15,0000,0001,0005,0005,0013,
16,0002,0001,0007,0005,0015,
17,0001,0000,0006,0006,0013,
18,0002,0000,0006,0006,0013,
19,0002,0000,0006,0006,0013,
20,0002,0001,0007,0005,0013,
21,0002,0002,0008,0005,0013,
22,0001,0002,0008,0005,0013,
23,0001,0001,0006,0005,0013,
24,0000,0001,0006,0005,0013,
25,0000,0003,0006,0005,0013,
26,0000,0003,0006,0003,0013,
27,0000,0000,0006,0003,0013,
28,0000,0000,0006,0003,0012,
29,0000,0000,0004,0003,0010,
