time,delta0,delta1,delta2,delta3,delta4
0,0020,0015,0023,0031,0028,
1,0022,0018,0031,0031,0034,
2,0028,0022,0038,0045,0039,
3,0028,0022,0038,0045,0039,
4,0022,0017,0031,0040,0036,
5,0019,0015,0029,0037,0034,
6,0016,0012,0022,0036,0033,
7,0007,0003,0007,0011,0009,
8,0007,0003,0007,0009,0009,
9,0005,0003,0006,0004,0007,
10,0002,0000,0004,0001,0005,
11,0002,0000,0003,0001,0005,
12,0002,0000,0003,0001,0005,
13,0001,0001,-002,0001,0005,
14,0001,0000,-002,0001,0005,
15,0001,0000,-002,0001,0005,
16,0003,0000,0000,0003,0005,
17,0003,0003,0000,0003,0005,
18,0003,0003,0000,0003,0005,
19,0001,-002,0002,-002,0004,
20,0001,-002,0002,-002,0004,
21,0001,-002,0002,-002,0004,
22,0001,0000,-003,0002,0004,
23,0002,0000,-003,0002,0004,
24,0002,0000,-002,0002,0004,
25,0002,-001,0001,0001,0003,
26,0002,-001,0005,0001,0003,
27,0002,-001,0005,0001,0003,
28,0002,-001,-001,-003,0002,
29,0003,-001,-001,-003,0002,
