time,delta0,delta1,delta2,delta3,delta4
0,0027,0019,0037,0046,0045,
1,0029,0020,0041,0048,0050,
2,0043,0033,0053,0077,0060,
3,0043,0033,0061,0083,0062,
4,0028,0022,0061,0085,0065,
5,0027,0018,0052,0083,0062,
6,0021,0016,0037,0069,0056,
7,0010,0011,0021,0030,0035,
8,0008,0003,0016,0018,0022,
9,0005,0002,0011,0014,0013,
10,0001,0002,0006,0007,0003,
11,0001,0000,0006,0006,0003,
12,0001,0000,0005,0006,0003,
13,0001,-002,0005,-001,0002,
14,0001,-002,0005,-001,0000,
15,0001,-002,0005,-001,0000,
16,0002,-002,0005,-001,0000,
17,0002,-002,0002,-001,0000,
18,0002,-002,0002,-001,0000,
19,0000,0000,0002,0001,0003,
20,0000,-002,0002,0000,0002,
21,0000,-002,0002,0000,0002,
22,-001,-002,0002,0000,0002,
23,-001,0000,0000,0000,0002,
24,-001,0000,-001,0000,0002,
25,-001,0000,-001,0000,0001,
26,-001,-001,-001,0000,0001,
27,-001,-001,-001,0000,0001,
28,0002,-003,0000,-001,-005,
29,0003,-003,0000,-001,-005,
