time,delta0,delta1,delta2,delta3,delta4
0,0020,0019,0032,0037,0039,
1,0031,0026,0046,0058,0048,
2,0042,0031,0056,0073,0066,
3,0044,0034,0058,0083,0077,
4,0051,0053,0072,0106,0100,
5,0051,0053,0088,0125,0102,
6,0051,0053,0094,0129,0113,
7,0051,0053,0097,0147,0113,
8,0051,0053,0097,0159,0113,
9,0035,0026,0073,0159,0113,
10,0031,0023,0051,0109,0108,
11,0017,0017,0035,0047,0055,
12,0005,-006,0015,0014,0010,
13,0005,-006,0011,0012,0009,
14,0005,-006,0011,0007,0008,
15,0005,-006,0003,0003,0007,
16,0005,-001,0003,0003,0007,
17,0002,-001,0003,0003,0007,
18,0002,-001,0001,0000,0002,
19,0002,-001,0001,0000,0002,
20,0002,-001,0000,0000,0002,
21,0001,-001,0000,-002,0004,
22,0001,-001,0000,-002,0004,
23,0001,-001,-002,-002,0004,
24,-003,-002,0001,-003,0000,
25,-003,-002,0001,-003,0000,
26,-003,-002,0001,-003,0000,
27,0001,-003,-004,-001,0000,
28,0001,-003,-004,-001,0000,
29,0001,-003,-006,-001,0000,
