time,delta0,delta1,delta2,delta3,delta4
0,0020,0015,0029,0034,0040,
1,0023,0017,0032,0036,0042,
2,0033,0021,0042,0061,0054,
3,0041,0034,0056,0077,0069,
4,0048,0035,0061,0092,0080,
5,0054,0051,0071,0110,0101,
6,0054,0057,0080,0112,0103,
7,0054,0057,0083,0114,0103,
8,0054,0057,0080,0118,0103,
9,0054,0057,0076,0118,0099,
10,0031,0018,0060,0100,0080,
11,0022,0011,0036,0072,0063,
12,0018,0009,0026,0035,0042,
13,0018,0009,0015,0019,0021,
14,0018,0009,0013,0018,0020,
15,0018,0009,0011,0013,0020,
16,0005,-001,0005,0005,0008,
17,0003,-001,0005,0003,0008,
18,0003,-002,0004,0003,0008,
19,0002,-001,0005,0001,0004,
20,0002,-001,0001,0001,0004,
21,0002,-001,0001,0001,0004,
22,0002,-003,-003,0003,0006,
23,0003,-003,-003,0002,0006,
24,0003,-003,0000,0002,0006,
25,0001,-004,0000,0001,0005,
26,0000,-004,0000,0001,0005,
27,0000,-004,-002,0001,0005,
28,0000,-002,0001,0002,0008,
29,0001,-002,0001,0001,0007,
